query_id,method,label2_count,label1_count,not_found
Q001,element,1,19,0
Q001,recursive,3,22,0
Q001,semantic_maxmin,2,23,0
Q002,element,1,24,0
Q002,recursive,3,22,0
Q002,semantic_maxmin,3,22,0
Q003,element,1,24,0
Q003,recursive,2,23,0
Q003,semantic_maxmin,1,24,0
Q004,element,1,23,0
Q004,recursive,2,23,0
Q004,semantic_maxmin,1,18,0
Q005,element,1,24,0
Q005,recursive,3,22,0
Q005,semantic_maxmin,3,22,0
Q006,element,1,12,0
Q006,recursive,1,24,0
Q006,semantic_maxmin,1,20,0
Q007,element,1,24,0
Q007,recursive,3,22,0
Q007,semantic_maxmin,3,22,0
Q008,element,1,24,0
Q008,recursive,3,22,0
Q008,semantic_maxmin,3,16,0
Q009,element,1,22,0
Q009,recursive,3,22,0
Q009,semantic_maxmin,2,20,0
Q010,element,2,23,0
Q010,recursive,3,22,0
Q010,semantic_maxmin,3,21,0
Q011,element,1,4,0
Q011,recursive,2,6,0
Q011,semantic_maxmin,1,5,0
Q012,element,1,2,0
Q012,recursive,3,3,0
Q012,semantic_maxmin,3,3,0
Q013,element,1,8,0
Q013,recursive,3,18,0
Q013,semantic_maxmin,3,22,0
Q014,element,1,9,0
Q014,recursive,3,21,0
Q014,semantic_maxmin,1,24,0
Q015,element,1,21,0
Q015,recursive,3,22,0
Q015,semantic_maxmin,1,24,0
Q016,element,1,0,0
Q016,recursive,1,0,0
Q016,semantic_maxmin,1,0,0
Q017,element,1,24,0
Q017,recursive,3,22,0
Q017,semantic_maxmin,3,22,0
Q018,element,1,24,0
Q018,recursive,2,23,0
Q018,semantic_maxmin,1,24,0
Q019,element,1,24,0
Q019,recursive,2,23,0
Q019,semantic_maxmin,1,24,0
Q020,element,1,20,0
Q020,recursive,3,22,0
Q020,semantic_maxmin,3,16,0
Q021,element,1,24,0
Q021,recursive,3,22,0
Q021,semantic_maxmin,3,22,0
Q022,element,1,24,0
Q022,recursive,1,24,0
Q022,semantic_maxmin,3,22,0
Q023,element,1,24,0
Q023,recursive,3,22,0
Q023,semantic_maxmin,3,20,0
Q024,element,1,23,0
Q024,recursive,2,23,0
Q024,semantic_maxmin,2,23,0
Q025,element,1,24,0
Q025,recursive,1,24,0
Q025,semantic_maxmin,1,15,0
Q026,element,1,24,0
Q026,recursive,3,22,0
Q026,semantic_maxmin,3,22,0
Q027,element,1,24,0
Q027,recursive,3,22,0
Q027,semantic_maxmin,3,22,0
Q028,element,1,10,0
Q028,recursive,2,16,0
Q028,semantic_maxmin,1,15,0
Q029,element,1,0,0
Q029,recursive,1,0,0
Q029,semantic_maxmin,1,0,0
Q030,element,1,19,0
Q030,recursive,2,23,0
Q030,semantic_maxmin,1,23,0
Q031,element,1,24,0
Q031,recursive,3,22,0
Q031,semantic_maxmin,3,22,0
Q032,element,1,24,0
Q032,recursive,1,24,0
Q032,semantic_maxmin,1,24,0
Q033,element,1,24,0
Q033,recursive,3,22,0
Q033,semantic_maxmin,2,23,0
Q034,element,1,6,0
Q034,recursive,1,12,0
Q034,semantic_maxmin,1,10,0
Q035,element,1,24,0
Q035,recursive,3,22,0
Q035,semantic_maxmin,3,22,0
Q036,element,1,4,0
Q036,recursive,3,3,0
Q036,semantic_maxmin,3,3,0
Q037,element,2,23,0
Q037,recursive,3,22,0
Q037,semantic_maxmin,3,22,0
Q038,element,1,2,0
Q038,recursive,1,1,0
Q038,semantic_maxmin,1,2,0
Q039,element,1,15,0
Q039,recursive,2,20,0
Q039,semantic_maxmin,2,11,0
Q040,element,1,24,0
Q040,recursive,1,24,0
Q040,semantic_maxmin,1,24,0
Q041,element,2,23,0
Q041,recursive,3,22,0
Q041,semantic_maxmin,2,17,0
Q042,element,1,2,0
Q042,recursive,1,1,0
Q042,semantic_maxmin,1,1,0
Q043,element,1,3,0
Q043,recursive,1,2,0
Q043,semantic_maxmin,1,1,0
Q044,element,1,3,0
Q044,recursive,1,1,0
Q044,semantic_maxmin,1,1,0
Q045,element,1,0,0
Q045,recursive,1,1,0
Q045,semantic_maxmin,1,1,0
Q046,element,1,3,0
Q046,recursive,2,3,0
Q046,semantic_maxmin,1,5,0
Q047,element,1,24,0
Q047,recursive,3,22,0
Q047,semantic_maxmin,3,22,0
Q048,element,1,24,0
Q048,recursive,3,22,0
Q048,semantic_maxmin,3,22,0
Q049,element,2,23,0
Q049,recursive,3,22,0
Q049,semantic_maxmin,3,22,0
Q050,element,1,7,0
Q050,recursive,2,9,0
Q050,semantic_maxmin,2,7,0
