query_id,doc_id,question,gold_answer_original,revised_gold_answer,evidence_page,evidence_anchor,evidence_text,status,evidence_correction,rationale
Q001,DOC01_BIK,"Apa tujuan publikasi Benchmark Indeks Konstruksi (2016=100), 2018–2023?",Publikasi ini bertujuan menyajikan data yang selaras antara hasil Survei Perusahaan Konstruksi Triwulanan dan Survei Perusahaan Konstruksi Tahunan serta menggambarkan perkembangan sektor konstruksi Indonesia selama 2018–2023.,Publikasi ini bertujuan menyajikan data yang selaras antara hasil Survei Perusahaan Konstruksi Triwulanan dan Survei Perusahaan Konstruksi Tahunan serta menggambarkan perkembangan sektor konstruksi Indonesia selama 2018–2023.,PDF page 7,Kata Pengantar,"jasa pekerja tetap, upah pekerja harian, dan nilai konstruksi yang diselesaikan  menurut provinsi tahun 2018–2023. Benchmark indeks konstruksi setiap  provinsi diperoleh dengan cara menetapkan tahun tertentu yaitu tahun 2016  sebagai tahun dasar. Selanjutnya, data pada tahun tersebut digerakkan dengan",VALID,,Semua angka (2/2) dan istilah kunci (11/12) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q002,DOC01_BIK,Indikator apa saja yang dicakup dalam publikasi Benchmark Indeks Konstruksi?,"Indikator yang dicakup meliputi pekerja tetap, hari-orang, balas jasa dan upah, balas jasa pekerja tetap, upah pekerja harian, dan nilai konstruksi yang diselesaikan menurut provinsi tahun 2018–2023.","Indikator yang dicakup meliputi pekerja tetap, hari-orang, balas jasa dan upah, balas jasa pekerja tetap, upah pekerja harian, dan nilai konstruksi yang diselesaikan menurut provinsi tahun 2018–2023.",PDF page 7,Kata Pengantar,"jasa pekerja tetap, upah pekerja harian, dan nilai konstruksi yang diselesaikan  menurut provinsi tahun 2018–2023. Benchmark indeks konstruksi setiap  provinsi diperoleh dengan cara menetapkan tahun tertentu yaitu tahun 2016  sebagai tahun dasar. Selanjutnya, data pada tahun tersebut digerakkan dengan",VALID,,Semua angka (2/2) dan istilah kunci (7/7) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q003,DOC01_BIK,Tahun dasar apa yang digunakan dalam Benchmark Indeks Konstruksi dan bagaimana data diselaraskan?,"Benchmark Indeks Konstruksi menggunakan tahun 2016 sebagai tahun dasar, kemudian data digerakkan dengan benchmark pertumbuhan tahunan sebelum dan sesudahnya untuk memperoleh data yang selaras.","Benchmark Indeks Konstruksi menggunakan tahun 2016 sebagai tahun dasar, kemudian data digerakkan dengan benchmark pertumbuhan tahunan sebelum dan sesudahnya untuk memperoleh data yang selaras.",PDF page 7,Kata Pengantar,"menurut provinsi tahun 2018–2023. Benchmark indeks konstruksi setiap  provinsi diperoleh dengan cara menetapkan tahun tertentu yaitu tahun 2016  sebagai tahun dasar. Selanjutnya, data pada tahun tersebut digerakkan dengan  benchmark pertumbuhan tahunan sebelum dan sesudahnya untuk memperoleh",VALID,,Semua angka (1/1) dan istilah kunci (10/12) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q004,DOC01_BIK,Apa dua publikasi yang disebut sebagai dwilogi publikasi konstruksi BPS?,"Dua publikasi tersebut adalah Benchmark Indeks Konstruksi (2016=100), 2018–2023 dan Benchmark Statistik Konstruksi, 2018–2023.","Dua publikasi tersebut adalah Benchmark Indeks Konstruksi (2016=100), 2018–2023 dan Benchmark Statistik Konstruksi, 2018–2023.",PDF page 7,Kata Pengantar,"diluncurkan serentak, yaitu: 1. Benchmark Indeks Konstruksi (2016=100), 2018–2023 2. Benchmark Statistik Konstruksi, 2018–2023 Akhirnya, pada kesempatan ini kami mengucapkan terima kasih dan",VALID,,Semua angka (6/6) dan istilah kunci (4/4) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q005,DOC01_BIK,"Tabel apa yang menyajikan Benchmark Indeks Konstruksi Triwulanan (2016=100), 2018–2023?","Tabel 2.1 menyajikan Benchmark Indeks Konstruksi (2016=100) Triwulanan, 2018–2023.","Tabel 2.1 menyajikan Benchmark Indeks Konstruksi (2016=100) Triwulanan, 2018–2023.",PDF page 11,Daftar Tabel,"Page 2.1 	 Benchmark Indeks Konstruksi (2016=100) Triwulanan, 2018–2023  	 Benchmarked Quarterly Indices of Construction (2016=100), 2018–2023",VALID,,Semua angka (5/5) dan istilah kunci (4/5) ditemukan di halaman PDF page 11. Gold answer konsisten dengan teks PDF.
Q006,DOC02_BSK,Apa tujuan publikasi Benchmark Statistik Konstruksi 2018–2023?,Publikasi ini bertujuan menyajikan data yang selaras antara Survei Perusahaan Konstruksi Triwulanan dan Survei Perusahaan Konstruksi Tahunan serta memperlihatkan perkembangan sektor konstruksi Indonesia selama 2018–2023.,Publikasi ini bertujuan menyajikan data yang selaras antara Survei Perusahaan Konstruksi Triwulanan dan Survei Perusahaan Konstruksi Tahunan serta memperlihatkan perkembangan sektor konstruksi Indonesia selama 2018–2023.,PDF page 7,Kata Pengantar,"yaitu: 1. Benchmark Indeks Konstruksi (2016=100), 2018–2023 2. Benchmark Statistik Konstruksi, 2018–2023 Akhirnya, pada kesempatan ini kami mengucapkan terimakasih dan",VALID,,Semua angka (2/2) dan istilah kunci (11/12) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q007,DOC02_BSK,Indikator apa saja yang dicakup dalam publikasi Benchmark Statistik Konstruksi?,"Indikatornya mencakup pekerja tetap, hari-orang, balas jasa dan upah, balas jasa pekerja tetap, upah pekerja harian, nilai konstruksi yang diselesaikan, dan nilai pengeluaran bahan bangunan atau material yang digunakan konstruksi.","Indikatornya mencakup pekerja tetap, hari-orang, balas jasa dan upah, balas jasa pekerja tetap, upah pekerja harian, nilai konstruksi yang diselesaikan, dan nilai pengeluaran bahan bangunan atau material yang digunakan konstruksi.",PDF page 7,Kata Pengantar,v KATA PENGANTAR B enchmark Statistik Konstruksi bertujuan untuk menyajikan data yang,VALID,,Semua angka (0/0) dan istilah kunci (8/9) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q008,DOC02_BSK,Bagaimana benchmark statistik konstruksi setiap provinsi diperoleh?,"Benchmark statistik konstruksi setiap provinsi diperoleh dengan menetapkan tahun 2016 sebagai tahun dasar, lalu data pada tahun tersebut digerakkan dengan benchmark pertumbuhan tahunan sebelum dan sesudahnya.","Benchmark statistik konstruksi setiap provinsi diperoleh dengan menetapkan tahun 2016 sebagai tahun dasar, lalu data pada tahun tersebut digerakkan dengan benchmark pertumbuhan tahunan sebelum dan sesudahnya.",PDF page 7,Kata Pengantar,"yaitu: 1. Benchmark Indeks Konstruksi (2016=100), 2018–2023 2. Benchmark Statistik Konstruksi, 2018–2023 Akhirnya, pada kesempatan ini kami mengucapkan terimakasih dan",VALID,,Semua angka (1/1) dan istilah kunci (12/12) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q009,DOC02_BSK,Tabel berapa yang menyajikan banyaknya pekerja tetap konstruksi menurut provinsi tahun 2018–2023?,Banyaknya pekerja tetap konstruksi menurut provinsi tahun 2018–2023 disajikan pada Tabel 2.2.,Banyaknya pekerja tetap konstruksi menurut provinsi tahun 2018–2023 disajikan pada Tabel 2.2.,PDF page 11,Daftar Tabel,"Works Completed by Province (percent), 2018–2023 ................................................................................	 24 2.11	 Hari-Orang Pekerja Harian Konstruksi Menurut Provinsi (ribu), 2018–2023 Mandays of Construction Casual Workers by Province (thousands), 2018–2023 ..............................	 25 2.12	 Pertumbuhan Hari-Orang Pekerja Harian Konstruksi Menurut Provinsi (persen",VALID,,Semua angka (3/3) dan istilah kunci (4/5) ditemukan di halaman PDF page 11. Gold answer konsisten dengan teks PDF.
Q010,DOC02_BSK,Tabel berapa yang menyajikan nilai konstruksi yang diselesaikan menurut provinsi tahun 2018–2023?,Nilai konstruksi yang diselesaikan menurut provinsi tahun 2018–2023 disajikan pada Tabel 2.24.,Nilai konstruksi yang diselesaikan menurut provinsi tahun 2018–2023 disajikan pada Tabel 2.24.,PDF page 12,Daftar Tabel,"Works Completed by Province (percent), 2018–2023.................................................................................	 37 2.24	 Nilai Konstruksi yang Diselesaikan Menurut Provinsi (juta rupiah), 2018–2023 Value of Construction Works Completed by Province (million rupiahs), 2018–2023 ........................	 38 2.25	 Pertumbuhan Nilai Konstruksi yang Diselesaikan Menurut Provinsi (pers",VALID,,Semua angka (3/3) dan istilah kunci (3/4) ditemukan di halaman PDF page 12. Gold answer konsisten dengan teks PDF.
Q011,DOC03_CERDAS,Berapa persentase angkatan kerja muda yang mengalami vertical mismatch menurut ikhtisar publikasi?,"Ikhtisar publikasi menyebut bahwa lebih dari sepertiga angkatan kerja muda, yaitu 36,36 persen, bekerja pada posisi yang tidak sesuai dengan tingkat pendidikannya.","Ikhtisar publikasi menyebut bahwa lebih dari sepertiga angkatan kerja muda, yaitu 36,36 persen, bekerja pada posisi yang tidak sesuai dengan tingkat pendidikannya.",PDF page 7,Ikhtisar,"dua kali lipat lebih tinggi dibandingkan TPT nasional. Salah satu akar masalahnya  adalah fenomena vertical mismatch dimana lebih dari sepertiga (36,36 persen)  angkatan kerja muda bekerja pada posisi yang tidak sesuai dengan tingkat  pendidikannya.",VALID,,Semua angka (1/1) dan istilah kunci (8/9) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q012,DOC03_CERDAS,Bagaimana posisi TPT pemuda dibandingkan TPT nasional menurut publikasi CERDAS ini?,Publikasi menyatakan bahwa TPT pemuda sekitar dua kali lipat lebih tinggi dibandingkan TPT nasional.,Publikasi menyatakan bahwa TPT pemuda sekitar dua kali lipat lebih tinggi dibandingkan TPT nasional.,PDF page 7,Ikhtisar,7 IKHTISAR   ,VALID,,Semua angka (0/0) dan istilah kunci (4/6) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q013,DOC03_CERDAS,Apa dampak overeducated dan undereducated yang disebut dalam publikasi?,Kondisi overeducated dan undereducated menyebabkan kerugian jangka panjang berupa wage penalty serta mencerminkan inefisiensi dalam perekonomian.,Kondisi overeducated dan undereducated menyebabkan kerugian jangka panjang berupa wage penalty serta mencerminkan inefisiensi dalam perekonomian.,PDF page 7,Ikhtisar,7 IKHTISAR   ,VALID,,Semua angka (0/0) dan istilah kunci (11/11) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
