query_id,old_question,new_question,changed,revision_reason
Q001,Berapa Benchmark Indeks Hari-Orang Pekerja Tidak Tetap/Harian Konstruksi di Provinsi Riau pada tahun 2023?,Berapa nilai Benchmark Indeks Hari-Orang Pekerja Tidak Tetap/Harian Konstruksi di Provinsi Riau pada tahun 2023?,YES,Penambahan 'nilai' untuk perjelas objek; tidak ada pola terlarang
Q003,Berapa Benchmark Indeks Upah Pekerja Tidak Tetap/Harian Konstruksi di Jawa Barat pada tahun 2023?,Berapa nilai Benchmark Indeks Upah Pekerja Tidak Tetap/Harian Konstruksi di Jawa Barat pada tahun 2023?,YES,Penambahan 'nilai' untuk perjelas objek; tidak ada pola terlarang
Q005,Apa yang dimaksud dengan Nilai Konstruksi yang Diselesaikan dalam publikasi Benchmark Indeks Konstruksi (2016=100)?,Apa yang dimaksud dengan Nilai Konstruksi yang Diselesaikan dalam penghitungan Benchmark Indeks Konstruksi?,YES,Menghapus referensi 'dalam publikasi Benchmark Indeks Konstruksi (2016=100)'
Q006,Berapa jumlah pekerja tetap konstruksi nasional pada tahun 2023 dalam Benchmark Statistik Konstruksi?,Berapa jumlah pekerja tetap di sektor konstruksi secara nasional pada tahun 2023?,YES,Menghapus referensi metadata 'dalam Benchmark Statistik Konstruksi'
Q009,Berapa persentase balas jasa dan upah pekerja konstruksi terhadap nilai konstruksi yang diselesaikan di Jambi pada tahun 2023?,Berapa persentase balas jasa dan upah pekerja konstruksi terhadap nilai konstruksi yang diselesaikan di Jambi pada tahun 2023?,NO,Tidak diubah — sudah natural
Q010,Apa yang dimaksud dengan Pengeluaran Bahan/Material yang Digunakan dalam Benchmark Statistik Konstruksi?,Apa yang dimaksud dengan Pengeluaran Bahan/Material yang Digunakan dalam penghitungan statistik konstruksi?,YES,Menghapus referensi metadata 'dalam Benchmark Statistik Konstruksi'
Q011,"Dalam Lampiran 1, berapa nilai kecenderungan mismatch untuk variabel Lama Bekerja (0–14 Tahun)?",Berapa nilai kecenderungan mismatch pendidikan untuk kelompok pemuda dengan lama bekerja 0 hingga 14 tahun?,YES,Menghapus referensi metadata 'Dalam Lampiran 1'
Q013,"Dalam Lampiran 3, berapa hazard ratio untuk status Overeducated dibandingkan matched?",Berapa hazard ratio pemuda overeducated dibandingkan pemuda dengan pendidikan yang matched dalam durasi mencari kerja?,YES,Menghapus referensi metadata 'Dalam Lampiran 3'; parafrase sesuai contoh instruksi
Q015,Berapa persentase angkatan kerja muda yang mengalami vertical mismatch menurut ikhtisar publikasi?,Berapa persentase angkatan kerja muda yang mengalami vertical mismatch di Indonesia?,YES,Menghapus referensi metadata 'menurut ikhtisar publikasi'
Q016,"Berdasarkan Tabel 4, berapa Indeks Unit Value Impor HS 01 pada Agustus 2025?",Berapa Indeks Unit Value Impor untuk kelompok komoditas HS 01 pada Agustus 2025?,YES,Menghapus referensi metadata 'Berdasarkan Tabel 4'
Q017,"Berdasarkan Tabel 4, berapa Indeks Unit Value Impor HS 27 pada Agustus 2025?",Berapa Indeks Unit Value Impor untuk kelompok komoditas HS 27 pada Agustus 2025?,YES,Menghapus referensi metadata 'Berdasarkan Tabel 4'
