query_id,excel_row,evidence_type,old_evidence_anchor,new_evidence_anchor,old_evidence_text,new_evidence_text,old_gold_answer,new_gold_answer,old_validation_status,new_validation_status,candidate_v3_exact_match_count,candidate_v3_exact_match_examples,revision_reason
Q005,4,paragraph,7. Nilai Konstruksi yang Diselesaikan,7. Nilai Konstruksi yang Diselesaikan,"Nilai konstruksi yang diselesaikan adalah nilai pekerjaan yang telah diselesaikan oleh pihak pemborong menurut realisasi proyek yang telah diselesaikan dalam jangka waktu tertentu, berdasarkan nilai kontrak antara pemilik dengan kontraktor.","Nilai konstruksi yang diselesaikan adalah nilai pekerjaan yang telah diselesaikan oleh pihak pemborong menurut realisasi proyek yang telah diselesaikan dalam jangka waktu tertentu, berdasarkan nilai kontrak antara pemilik dengan kontraktor.","Nilai konstruksi yang diselesaikan adalah nilai pekerjaan yang telah diselesaikan oleh pihak pemborong menurut realisasi proyek yang telah diselesaikan dalam jangka waktu tertentu, berdasarkan nilai kontrak antara pemilik dengan kontraktor.","Nilai konstruksi yang diselesaikan adalah nilai pekerjaan yang telah diselesaikan oleh pihak pemborong menurut realisasi proyek yang telah diselesaikan dalam jangka waktu tertentu, berdasarkan nilai kontrak antara pemilik dengan kontraktor.",draft_needs_manual_validation,validated_against_v3_chunk_text_needs_pdf_final_check,3,element_based:29; maxmin_semantic:34; recursive:23,unchanged; already literal
Q010,7,paragraph,8. Pengeluaran Bahan/Material yang Digunakan,8. Pengeluaran Bahan/Material yang Digunakan,Pengeluaran bahan/material yang digunakan adalah seluruh biaya/pengeluaran yang berkaitan langsung dengan usaha konstruksi berupa bahan baku dan penolong.,Pengeluaran bahan/material yang digunakan adalah seluruh biaya/ pengeluaran yang berkaitan langsung dengan usaha konstruksi berupa bahan baku dan penolong.,Pengeluaran bahan/material yang digunakan adalah seluruh biaya/pengeluaran yang berkaitan langsung dengan usaha konstruksi berupa bahan baku dan penolong. Pengeluaran ditentukan berdasarkan konsep pemakaian bahan yang dibeli maupun yang diproduksi sendiri. Biaya bahan dan penolong yang diproduksi sendiri dinilai atas dasar harga pasar atau pengeluaran untuk memperolehnya.,Pengeluaran bahan/material yang digunakan adalah seluruh biaya/pengeluaran yang berkaitan langsung dengan usaha konstruksi berupa bahan baku dan penolong. Pengeluaran ditentukan berdasarkan konsep pemakaian bahan yang dibeli maupun yang diproduksi sendiri. Biaya bahan dan penolong yang diproduksi sendiri dinilai atas dasar harga pasar atau pengeluaran untuk memperolehnya.,draft_needs_manual_validation,validated_against_v3_chunk_text_needs_pdf_final_check,3,element_based:39; maxmin_semantic:29; recursive:28,minor exact-text fix: slash spacing and full literal evidence
Q015,10,bullet,Ikhtisar,IKHTISAR,"Ikhtisar menyebut vertical mismatch sebesar 36,36 persen.","Salah satu akar masalahnya adalah fenomena vertical mismatch dimana lebih dari sepertiga (36,36 persen) angkatan kerja muda bekerja pada posisi yang tidak sesuai dengan tingkat pendidikannya.","Ikhtisar publikasi menyebut bahwa lebih dari sepertiga angkatan kerja muda, yaitu 36,36 persen, bekerja pada posisi yang tidak sesuai dengan tingkat pendidikannya.","Lebih dari sepertiga angkatan kerja muda, yaitu 36,36 persen, mengalami vertical mismatch karena bekerja pada posisi yang tidak sesuai dengan tingkat pendidikannya.",draft_needs_manual_validation,validated_against_v3_chunk_text_needs_pdf_final_check,1,element_based:10,replaced synthetic summary with literal evidence
Q020,13,paragraph,Metodologi - Pemilihan Sampel Komoditas,METODOLOGI,"Bagian metodologi menyebut sampel impor 2.800 HS 8-digit, dengan rincian 25 migas dan 2.775 nonmigas.","Jumlah komoditas menurut HS 8-digit yang terpilih sebagai sampel sebanyak 2.800 komoditas, dengan rincian sebanyak 25 komoditas merupakan anggota dari kelompok migas dan 2.775 dari kelompok nonmigas","Jumlah komoditas HS 8-digit yang terpilih sebagai sampel impor adalah 2.800 komoditas, terdiri dari 25 komoditas migas dan 2.775 komoditas nonmigas.","Jumlah komoditas HS 8-digit yang terpilih sebagai sampel impor adalah 2.800 komoditas, terdiri dari 25 komoditas migas dan 2.775 komoditas nonmigas.",draft_needs_manual_validation,validated_against_v3_chunk_text_needs_pdf_final_check,2,element_based:20; maxmin_semantic:27,replaced synthetic summary with literal evidence
Q025,16,paragraph,2.2 KLASIFIKASI LNPRT MENURUT COPNI,2.2 KLASIFIKASI LNPRT MENURUT COPNI,"Klasifikasi ini membagi LNPRT menjadi sembilan, yaitu perumahan; kesehatan; rekreasi dan kebudayaan; pendidikan; perlindungan/","Klasifikasi ini membagi LNPRT menjadi sembilan, yaitu perumahan; kesehatan; rekreasi dan kebudayaan; pendidikan; perlindungan/ jaminan sosial; keagamaan; partai politik, organisasi buruh, dan organisasi profesi; lingkungan hidup; serta jasa lainnya.","COPNI mengklasifikasikan LNPRT berdasarkan tujuan kegiatan utama lembaga ke dalam sembilan kelompok: perumahan; kesehatan; rekreasi dan kebudayaan; pendidikan; perlindungan/jaminan sosial; keagamaan; partai politik, organisasi buruh, dan organisasi profesi; lingkungan hidup; serta jasa lainnya.","COPNI mengklasifikasikan LNPRT berdasarkan tujuan kegiatan utama lembaga ke dalam sembilan kelompok: perumahan; kesehatan; rekreasi dan kebudayaan; pendidikan; perlindungan/jaminan sosial; keagamaan; partai politik, organisasi buruh, dan organisasi profesi; lingkungan hidup; serta jasa lainnya.",draft_needs_manual_validation,validated_against_v3_chunk_text_needs_pdf_final_check,1,element_based:50,completed truncated evidence_text
Q029,19,paragraph,Bab II Metodologi - Tabungan,2.2.3.5 Property Income Paid,Subbagian Tabungan menjelaskan item ini sebagai faktor penyeimbang antara disposable income dan konsumsi akhir pemerintah.,"Rincian tabungan merupakan faktor penyeimbang di dalam neraca penggunaan pendapatan disposabel pemerintahan umum, yaitu selisih antara pendapatan disposabel dan pengeluaran konsumsi akhir pemerintah.","Tabungan merupakan faktor penyeimbang dalam neraca penggunaan pendapatan disposabel pemerintahan umum, yaitu selisih antara pendapatan disposabel dan pengeluaran konsumsi akhir pemerintah.","Tabungan merupakan faktor penyeimbang dalam neraca penggunaan pendapatan disposabel pemerintahan umum, yaitu selisih antara pendapatan disposabel dan pengeluaran konsumsi akhir pemerintah.",draft_needs_manual_validation,validated_against_v3_chunk_text_needs_pdf_final_check,1,element_based:56,replaced synthetic summary with literal evidence
Q034,22,paragraph,Bab II Konsep dan Definisi,2.4 Concepts and Definitions,"Bagian konsep menjelaskan transaksi rumah tangga dapat dikelompokkan ke dalam produksi, konsumsi, dan investasi.","Aktivitas ekonomi rumah tangga yang dimaksud mencakup aktivitas produksi, aktivitas konsumsi, dan aktivitas investasi.","Aktivitas ekonomi rumah tangga dikelompokkan ke dalam aktivitas produksi, konsumsi, dan investasi.","Aktivitas ekonomi rumah tangga yang dimaksud mencakup aktivitas produksi, aktivitas konsumsi, dan aktivitas investasi.",draft_needs_manual_validation,validated_against_v3_chunk_text_needs_pdf_final_check,1,element_based:64,replaced synthetic summary with literal evidence
Q040,25,paragraph,Ringkasan,KATA PENGANTAR,Ringkasan mencantumkan tingkat penyelesaian pendidikan berdasarkan jenjang.,"Tingkat penyelesaian pendidikan untuk jenjang pendidikan SD sederajat sebesar 97,65 persen, jenjang SMP sederajat sebesar 91,45 persen, sedangkan untuk jenjang SMA/SMK sederajat hanya sebesar 73,90 persen.","Tingkat penyelesaian pendidikan pada 2025 adalah 97,65 persen untuk SD sederajat, 91,45 persen untuk SMP sederajat, dan 73,90 persen untuk SMA/SMK sederajat.","Tingkat penyelesaian pendidikan pada 2025 adalah 97,65 persen untuk SD sederajat, 91,45 persen untuk SMP sederajat, dan 73,90 persen untuk SMA/SMK sederajat.",draft_needs_manual_validation,validated_against_v3_chunk_text_needs_pdf_final_check,1,element_based:6,replaced synthetic summary with literal evidence
Q044,28,paragraph_table,Bab 1 Ringkasan,RINGKASAN,Ringkasan dan Tabel 1.1 mencantumkan total nilai impor serta rincian migas/nonmigas.,"Total nilai impor Indonesia Agustus 2025 mencapai US$19.475,2 juta, yang terdiri dari migas senilai US$2.732,5 juta dan nonmigas US$16.742,7 juta atau masing-masing memberikan peranan 14,03 dan 85,97 persen.","Total nilai impor Indonesia pada Agustus 2025 mencapai US$19.475,2 juta, terdiri atas migas US$2.732,5 juta dan nonmigas US$16.742,7 juta.","Total nilai impor Indonesia pada Agustus 2025 mencapai US$19.475,2 juta, terdiri atas migas US$2.732,5 juta dan nonmigas US$16.742,7 juta.",draft_needs_manual_validation,validated_against_v3_chunk_text_needs_pdf_final_check,1,element_based:22,replaced synthetic summary with literal evidence
Q049,31,paragraph,Bab I Pendahuluan - Latar Belakang,PENDAHULUAN,Latar belakang menjelaskan alasan pemilihan moda laut dan udara dalam perdagangan luar negeri.,"Moda laut masih menjadi pilihan utama untuk ekspor dan impor dalam jumlah besar karena ongkos angkutnya yang lebih ekonomis. Sementara itu, moda udara digunakan untuk barang bernilai tinggi atau yang memerlukan pengiriman cepat.","Moda laut masih menjadi pilihan utama untuk ekspor dan impor dalam jumlah besar karena ongkos angkutnya lebih ekonomis, sedangkan moda udara lebih banyak digunakan untuk barang bernilai tinggi atau yang memerlukan pengiriman cepat.","Moda laut masih menjadi pilihan utama untuk ekspor dan impor dalam jumlah besar karena ongkos angkutnya lebih ekonomis, sedangkan moda udara digunakan untuk barang bernilai tinggi atau yang memerlukan pengiriman cepat.",draft_needs_manual_validation,validated_against_v3_chunk_text_needs_pdf_final_check,1,recursive:11,replaced synthetic summary with literal evidence
