query_id,doc_id,method,chunk_id,label,rationale,confidence,notes
Q001,DOC01_BIK,element,4,2,score=0.892 | kw=4/5 | pages=[7] | page_match=Y | anchor_found=Y,high,auto
Q001,DOC01_BIK,element,43,1,score=0.342 | kw=4/5 | pages=[25] | page_match=N,medium,auto
Q001,DOC01_BIK,element,19,1,score=0.268 | kw=3/5 | pages=[19] | page_match=N,low,auto
Q001,DOC01_BIK,maxmin_semantic,1,2,score=0.656 | kw=5/5,high,auto
Q001,DOC01_BIK,maxmin_semantic,43,1,score=0.393 | kw=3/5,medium,auto
Q001,DOC01_BIK,maxmin_semantic,103,1,score=0.393 | kw=3/5,medium,auto
Q001,DOC01_BIK,maxmin_semantic,5,1,score=0.300 | kw=0/5 | anchor_found=Y,medium,auto
Q001,DOC01_BIK,maxmin_semantic,83,1,score=0.284 | kw=2/5,low,auto
Q001,DOC01_BIK,maxmin_semantic,84,1,score=0.284 | kw=2/5,low,auto
Q001,DOC01_BIK,recursive,2,2,score=0.656 | kw=5/5,high,auto
Q001,DOC01_BIK,recursive,1,1,score=0.524 | kw=4/5,medium,auto
Q001,DOC01_BIK,recursive,3,1,score=0.431 | kw=1/5 | anchor_found=Y,medium,auto
Q001,DOC01_BIK,recursive,27,1,score=0.393 | kw=3/5,medium,auto
Q001,DOC01_BIK,recursive,267,1,score=0.393 | kw=3/5,medium,auto
Q001,DOC01_BIK,recursive,249,1,score=0.284 | kw=2/5,low,auto
Q002,DOC01_BIK,element,4,2,score=0.983 | kw=5/5 | pages=[7] | page_match=Y | anchor_found=Y,high,auto
Q002,DOC01_BIK,element,17,1,score=0.408 | kw=5/5 | pages=[15] | page_match=N,medium,auto
Q002,DOC01_BIK,element,20,1,score=0.408 | kw=5/5 | pages=[19] | page_match=N,medium,auto
Q002,DOC01_BIK,element,35,1,score=0.408 | kw=5/5 | pages=[22] | page_match=N,medium,auto
Q002,DOC01_BIK,element,36,1,"score=0.408 | kw=5/5 | pages=[22, 23] | page_match=N",medium,auto
Q002,DOC01_BIK,element,50,1,score=0.408 | kw=5/5 | pages=[31] | page_match=N,medium,auto
Q002,DOC01_BIK,maxmin_semantic,2,2,score=0.667 | kw=5/5,high,auto
Q002,DOC01_BIK,maxmin_semantic,75,2,score=0.633 | kw=5/5,high,auto
Q002,DOC01_BIK,maxmin_semantic,47,2,score=0.617 | kw=5/5,high,auto
Q002,DOC01_BIK,maxmin_semantic,54,1,score=0.617 | kw=5/5,high,auto
Q002,DOC01_BIK,maxmin_semantic,73,1,score=0.617 | kw=5/5,high,auto
Q002,DOC01_BIK,maxmin_semantic,67,1,score=0.513 | kw=4/5,medium,auto
Q002,DOC01_BIK,maxmin_semantic,14,1,score=0.497 | kw=4/5,medium,auto
Q002,DOC01_BIK,maxmin_semantic,61,1,score=0.497 | kw=4/5,medium,auto
Q002,DOC01_BIK,recursive,2,2,score=0.667 | kw=5/5,high,auto
Q002,DOC01_BIK,recursive,16,2,score=0.633 | kw=5/5,high,auto
Q002,DOC01_BIK,recursive,28,2,score=0.617 | kw=5/5,high,auto
Q002,DOC01_BIK,recursive,31,1,score=0.617 | kw=5/5,high,auto
Q002,DOC01_BIK,recursive,51,1,score=0.617 | kw=5/5,high,auto
Q002,DOC01_BIK,recursive,56,1,score=0.617 | kw=5/5,high,auto
Q002,DOC01_BIK,recursive,61,1,score=0.617 | kw=5/5,high,auto
Q002,DOC01_BIK,recursive,66,1,score=0.617 | kw=5/5,high,auto
Q003,DOC01_BIK,element,4,2,score=0.988 | kw=4/4 | pages=[7] | page_match=Y | anchor_found=Y,high,auto
Q003,DOC01_BIK,element,43,1,score=0.431 | kw=4/4 | pages=[25] | page_match=N,medium,auto
Q003,DOC01_BIK,maxmin_semantic,68,2,score=0.362 | kw=2/4,medium,auto_promoted_best
Q003,DOC01_BIK,maxmin_semantic,2,1,score=0.350 | kw=2/4,medium,auto
Q003,DOC01_BIK,maxmin_semantic,3,1,score=0.350 | kw=2/4,medium,auto
Q003,DOC01_BIK,maxmin_semantic,12,1,score=0.350 | kw=2/4,medium,auto
Q003,DOC01_BIK,maxmin_semantic,62,1,score=0.350 | kw=2/4,medium,auto
Q003,DOC01_BIK,recursive,2,2,score=0.675 | kw=4/4,high,auto
Q003,DOC01_BIK,recursive,40,2,score=0.662 | kw=4/4,high,auto
Q003,DOC01_BIK,recursive,35,1,score=0.512 | kw=3/4,medium,auto
Q003,DOC01_BIK,recursive,3,1,score=0.463 | kw=1/4 | anchor_found=Y,medium,auto
Q003,DOC01_BIK,recursive,16,1,score=0.362 | kw=2/4,medium,auto
Q003,DOC01_BIK,recursive,36,1,score=0.350 | kw=2/4,medium,auto
Q003,DOC01_BIK,recursive,43,1,score=0.350 | kw=2/4,medium,auto
Q004,DOC01_BIK,element,4,2,score=0.980 | kw=3/3 | pages=[7] | page_match=Y | anchor_found=Y,high,auto
Q004,DOC01_BIK,element,2,1,score=0.287 | kw=2/3 | pages=[4] | page_match=N,low,auto
Q004,DOC01_BIK,element,0,1,"score=0.277 | kw=2/3 | pages=[1, 3] | page_match=N",low,auto
Q004,DOC01_BIK,element,20,1,score=0.277 | kw=2/3 | pages=[19] | page_match=N,low,auto
Q004,DOC01_BIK,maxmin_semantic,0,2,score=0.440 | kw=2/3,medium,auto_promoted_best
Q004,DOC01_BIK,maxmin_semantic,4,1,score=0.440 | kw=2/3,medium,auto
Q004,DOC01_BIK,maxmin_semantic,75,1,score=0.440 | kw=2/3,medium,auto
Q004,DOC01_BIK,maxmin_semantic,61,1,score=0.420 | kw=2/3,medium,auto
Q004,DOC01_BIK,maxmin_semantic,84,1,score=0.420 | kw=2/3,medium,auto
Q004,DOC01_BIK,recursive,3,2,score=0.740 | kw=2/3 | anchor_found=Y,high,auto
Q004,DOC01_BIK,recursive,2,1,score=0.460 | kw=2/3,medium,auto
Q004,DOC01_BIK,recursive,0,1,score=0.440 | kw=2/3,medium,auto
Q004,DOC01_BIK,recursive,248,1,score=0.440 | kw=2/3,medium,auto
Q004,DOC01_BIK,recursive,1,1,score=0.420 | kw=2/3,medium,auto
Q004,DOC01_BIK,recursive,16,1,score=0.420 | kw=2/3,medium,auto
Q005,DOC01_BIK,element,9,2,score=0.575 | kw=2/4 | pages=[11] | page_match=Y,high,auto
